benchmark,runs,total,avg,std,min,max,p75,p99,p995
16,18833,120987406453,6424223,114176,6241041,7550917,6505792,6781667,6889417
17,9140,119747415913,13101467,230561,12750083,15867209,13269417,13902125,14005625
18,4492,120656534939,26860314,498417,26071209,35787667,27129583,27878083,28894291
19,2172,120318255499,55395145,637574,53456916,76895375,55547875,56027791,56757833
20,1054,120147234322,113991683,587571,110708083,120381292,114214292,115645416,117453916
21,511,119425787503,233709955,3790589,227395125,263466834,235690292,245334250,250392417
22,250,120444314166,481777256,2971425,472186167,490671041,483648125,490242833,490298166
23,121,119508744706,987675576,3606907,980358709,1000872375,990058500,997219916,1000872375
24,58,117113193294,2019192987,8575021,2007754833,2063847084,2022767500,2063847084,2063847084
25,28,114951087793,4105395992,9720427,4087750834,4130734833,4109958375,4130734833,4130734833
26,11,111511977833,10137452530,273179768,9777584875,10662101417,10308923583,10662101417,10662101417
